id,ast,blk,dreb,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,ft_pct,fta,ftm,game,min,oreb,pf,player,pts,reb,stl,team,turnover
13934282,6,0,6,0.0,1,0,0.54545456,11,6,0.5,4,2,"{'id': 1037598, 'date': '2023-10-25T00:00:00.000Z', 'home_team_id': 22, 'home_team_score': 116, 'period': 4, 'postseason': False, 'season': 2023, 'status': 'Final', 'time': 'Final', 'visitor_team_id': 11, 'visitor_team_score': 86}",28,2,4,"{'id': 17896062, 'first_name': 'Alperen', 'height_feet': None, 'height_inches': None, 'last_name': 'Sengun', 'position': 'F-C', 'team_id': 11, 'weight_pounds': None}",14,8,0,"{'id': 11, 'abbreviation': 'HOU', 'city': 'Houston', 'conference': 'West', 'division': 'Southwest', 'full_name': 'Houston Rockets', 'name': 'Rockets'}",1
13944440,7,1,8,0.33333334,3,1,0.6111111,18,11,0.33333334,6,2,"{'id': 1037615, 'date': '2023-10-27T00:00:00.000Z', 'home_team_id': 27, 'home_team_score': 126, 'period': 5, 'postseason': False, 'season': 2023, 'status': 'Final', 'time': 'Final', 'visitor_team_id': 11, 'visitor_team_score': 122}",41,6,6,"{'id': 17896062, 'first_name': 'Alperen', 'height_feet': None, 'height_inches': None, 'last_name': 'Sengun', 'position': 'F-C', 'team_id': 11, 'weight_pounds': None}",25,14,2,"{'id': 11, 'abbreviation': 'HOU', 'city': 'Houston', 'conference': 'West', 'division': 'Southwest', 'full_name': 'Houston Rockets', 'name': 'Rockets'}",6
13955787,7,0,1,0.5,2,1,0.46666667,15,7,1.0,4,4,"{'id': 1037628, 'date': '2023-10-29T00:00:00.000Z', 'home_team_id': 11, 'home_team_score': 95, 'period': 4, 'postseason': False, 'season': 2023, 'status': 'Final', 'time': 'Final', 'visitor_team_id': 10, 'visitor_team_score': 106}",33,4,3,"{'id': 17896062, 'first_name': 'Alperen', 'height_feet': None, 'height_inches': None, 'last_name': 'Sengun', 'position': 'F-C', 'team_id': 11, 'weight_pounds': None}",19,5,0,"{'id': 11, 'abbreviation': 'HOU', 'city': 'Houston', 'conference': 'West', 'division': 'Southwest', 'full_name': 'Houston Rockets', 'name': 'Rockets'}",0
13968302,4,0,6,1.0,1,1,0.75,12,9,0.0,1,0,"{'id': 1037654, 'date': '2023-11-01T00:00:00.000Z', 'home_team_id': 11, 'home_team_score': 128, 'period': 4, 'postseason': False, 'season': 2023, 'status': 'Final', 'time': 'Final', 'visitor_team_id': 4, 'visitor_team_score': 119}",27,1,1,"{'id': 17896062, 'first_name': 'Alperen', 'height_feet': None, 'height_inches': None, 'last_name': 'Sengun', 'position': 'F-C', 'team_id': 11, 'weight_pounds': None}",19,7,1,"{'id': 11, 'abbreviation': 'HOU', 'city': 'Houston', 'conference': 'West', 'division': 'Southwest', 'full_name': 'Houston Rockets', 'name': 'Rockets'}",1
13984787,6,0,9,0.33333334,3,1,0.53846157,13,7,0.0,0,0,"{'id': 1037676, 'date': '2023-11-04T00:00:00.000Z', 'home_team_id': 11, 'home_team_score': 107, 'period': 4, 'postseason': False, 'season': 2023, 'status': 'Final', 'time': 'Final', 'visitor_team_id': 26, 'visitor_team_score': 89}",34,0,2,"{'id': 17896062, 'first_name': 'Alperen', 'height_feet': None, 'height_inches': None, 'last_name': 'Sengun', 'position': 'F-C', 'team_id': 11, 'weight_pounds': None}",15,9,2,"{'id': 11, 'abbreviation': 'HOU', 'city': 'Houston', 'conference': 'West', 'division': 'Southwest', 'full_name': 'Houston Rockets', 'name': 'Rockets'}",2
13992799,12,0,6,0.0,2,0,0.53846157,13,7,0.75,4,3,"{'id': 1037692, 'date': '2023-11-06T00:00:00.000Z', 'home_team_id': 11, 'home_team_score': 122, 'period': 4, 'postseason': False, 'season': 2023, 'status': 'Final', 'time': 'Final', 'visitor_team_id': 26, 'visitor_team_score': 97}",26,2,3,"{'id': 17896062, 'first_name': 'Alperen', 'height_feet': None, 'height_inches': None, 'last_name': 'Sengun', 'position': 'F-C', 'team_id': 11, 'weight_pounds': None}",17,8,1,"{'id': 11, 'abbreviation': 'HOU', 'city': 'Houston', 'conference': 'West', 'division': 'Southwest', 'full_name': 'Houston Rockets', 'name': 'Rockets'}",1
14000389,4,0,7,0.0,0,0,0.8,10,8,0.75,4,3,"{'id': 1037702, 'date': '2023-11-08T00:00:00.000Z', 'home_team_id': 11, 'home_team_score': 128, 'period': 4, 'postseason': False, 'season': 2023, 'status': 'Final', 'time': 'Final', 'visitor_team_id': 14, 'visitor_team_score': 94}",25,0,1,"{'id': 17896062, 'first_name': 'Alperen', 'height_feet': None, 'height_inches': None, 'last_name': 'Sengun', 'position': 'F-C', 'team_id': 11, 'weight_pounds': None}",19,7,0,"{'id': 11, 'abbreviation': 'HOU', 'city': 'Houston', 'conference': 'West', 'division': 'Southwest', 'full_name': 'Houston Rockets', 'name': 'Rockets'}",1
14010139,3,1,4,0.0,2,0,0.73333335,15,11,0.4,5,2,"{'id': 3277400, 'date': '2023-11-10T00:00:00.000Z', 'home_team_id': 11, 'home_team_score': 104, 'period': 4, 'postseason': False, 'season': 2023, 'status': 'Final', 'time': 'Final', 'visitor_team_id': 19, 'visitor_team_score': 101}",34,4,3,"{'id': 17896062, 'first_name': 'Alperen', 'height_feet': None, 'height_inches': None, 'last_name': 'Sengun', 'position': 'F-C', 'team_id': 11, 'weight_pounds': None}",24,8,2,"{'id': 11, 'abbreviation': 'HOU', 'city': 'Houston', 'conference': 'West', 'division': 'Southwest', 'full_name': 'Houston Rockets', 'name': 'Rockets'}",4
14020369,5,2,4,0.0,2,0,0.5,18,9,0.8333333,6,5,"{'id': 1037730, 'date': '2023-11-12T00:00:00.000Z', 'home_team_id': 11, 'home_team_score': 107, 'period': 4, 'postseason': False, 'season': 2023, 'status': 'Final', 'time': 'Final', 'visitor_team_id': 8, 'visitor_team_score': 104}",35,4,2,"{'id': 17896062, 'first_name': 'Alperen', 'height_feet': None, 'height_inches': None, 'last_name': 'Sengun', 'position': 'F-C', 'team_id': 11, 'weight_pounds': None}",23,8,1,"{'id': 11, 'abbreviation': 'HOU', 'city': 'Houston', 'conference': 'West', 'division': 'Southwest', 'full_name': 'Houston Rockets', 'name': 'Rockets'}",3
14044408,4,0,6,0.4,5,2,0.44444445,18,8,0.71428573,7,5,"{'id': 3277455, 'date': '2023-11-17T00:00:00.000Z', 'home_team_id': 13, 'home_team_score': 106, 'period': 4, 'postseason': False, 'season': 2023, 'status': 'Final', 'time': 'Final', 'visitor_team_id': 11, 'visitor_team_score': 100}",34,2,4,"{'id': 17896062, 'first_name': 'Alperen', 'height_feet': None, 'height_inches': None, 'last_name': 'Sengun', 'position': 'F-C', 'team_id': 11, 'weight_pounds': None}",23,8,1,"{'id': 11, 'abbreviation': 'HOU', 'city': 'Houston', 'conference': 'West', 'division': 'Southwest', 'full_name': 'Houston Rockets', 'name': 'Rockets'}",6
14054029,5,1,8,0.5,2,1,0.6875,16,11,0.0,0,0,"{'id': 1037785, 'date': '2023-11-19T00:00:00.000Z', 'home_team_id': 14, 'home_team_score': 105, 'period': 4, 'postseason': False, 'season': 2023, 'status': 'Final', 'time': 'Final', 'visitor_team_id': 11, 'visitor_team_score': 104}",31,2,4,"{'id': 17896062, 'first_name': 'Alperen', 'height_feet': None, 'height_inches': None, 'last_name': 'Sengun', 'position': 'F-C', 'team_id': 11, 'weight_pounds': None}",23,10,0,"{'id': 11, 'abbreviation': 'HOU', 'city': 'Houston', 'conference': 'West', 'division': 'Southwest', 'full_name': 'Houston Rockets', 'name': 'Rockets'}",4
